K,Average,MoreThan200,AtLeast1,VotingmRMR
1,75.605,75,75,85
2,75.605,75,75,85
3,72.6,80,70,80
4,73.59,80,70,85
5,73.495,80,75,85
6,73.805,80,70,85
7,73.195,80,65,85
8,72.41,85,60,85
9,70.84,85,55,85
