K,Average,MoreThan200,AtLeast1,VotingmRMR
1,69.825,65,75,75
2,69.825,65,75,75
3,67.085,70,65,80
4,68.665,75,65,80
5,68.73,75,70,85
6,69.17,80,70,85
7,68.695,80,60,85
8,68.295,80,55,80
9,67.235,80,50,80
